Roll = -9.893051, Pitch = -31.767129, Yaw = 161.471820
Roll = -9.893051, Pitch = -31.767129, Yaw = 161.471820
Roll = -10.395586, Pitch = -31.003813, Yaw = 161.111819
Roll = -10.395586, Pitch = -31.003813, Yaw = 161.111819
Roll = -10.997289, Pitch = -30.202517, Yaw = 160.914569
Roll = -10.997289, Pitch = -30.202517, Yaw = 160.914569
Roll = -11.745176, Pitch = -29.144417, Yaw = 160.929538
Roll = -11.745176, Pitch = -29.144417, Yaw = 160.929538
Roll = -12.370044, Pitch = -27.797692, Yaw = 161.004153
Roll = -12.370044, Pitch = -27.797692, Yaw = 161.004153
Roll = -13.011907, Pitch = -26.490984, Yaw = 161.027881
Roll = -13.011907, Pitch = -26.490984, Yaw = 161.027881
Roll = -13.726995, Pitch = -25.201018, Yaw = 160.993976
Roll = -13.726995, Pitch = -25.201018, Yaw = 160.993976
Roll = -14.459133, Pitch = -23.830943, Yaw = 160.807391
Roll = -14.459133, Pitch = -23.830943, Yaw = 160.807391
Roll = -15.199562, Pitch = -22.400658, Yaw = 160.475573
Roll = -15.199562, Pitch = -22.400658, Yaw = 160.475573
Roll = -15.932752, Pitch = -20.994873, Yaw = 160.143985
Roll = -15.932752, Pitch = -20.994873, Yaw = 160.143985
Roll = -16.601357, Pitch = -19.506819, Yaw = 159.784060
Roll = -16.601357, Pitch = -19.506819, Yaw = 159.784060
Roll = -17.145174, Pitch = -17.916504, Yaw = 159.450900
Roll = -17.145174, Pitch = -17.916504, Yaw = 159.450900
Roll = -17.568653, Pitch = -16.177700, Yaw = 159.217563
Roll = -17.568653, Pitch = -16.177700, Yaw = 159.217563
Roll = -17.872402, Pitch = -14.403165, Yaw = 159.084292
Roll = -17.872402, Pitch = -14.403165, Yaw = 159.084292
Roll = -18.119778, Pitch = -12.723361, Yaw = 158.976977
Roll = -18.119778, Pitch = -12.723361, Yaw = 158.976977
Roll = -18.270590, Pitch = -11.053220, Yaw = 158.790667
Roll = -18.270590, Pitch = -11.053220, Yaw = 158.790667
Roll = -18.404717, Pitch = -9.415134, Yaw = 158.606219
Roll = -18.404717, Pitch = -9.415134, Yaw = 158.606219
Roll = -18.547125, Pitch = -7.851155, Yaw = 158.439257
Roll = -18.547125, Pitch = -7.851155, Yaw = 158.439257
Roll = -18.721752, Pitch = -6.440240, Yaw = 158.290820
Roll = -18.721752, Pitch = -6.440240, Yaw = 158.290820
Roll = -18.940855, Pitch = -5.164783, Yaw = 158.147265
Roll = -18.940855, Pitch = -5.164783, Yaw = 158.147265
Roll = -19.166497, Pitch = -3.921788, Yaw = 157.942797
Roll = -19.166497, Pitch = -3.921788, Yaw = 157.942797
Roll = -19.385540, Pitch = -2.734609, Yaw = 157.737109
Roll = -19.385540, Pitch = -2.734609, Yaw = 157.737109
Roll = -19.598490, Pitch = -1.611280, Yaw = 157.504351
Roll = -19.598490, Pitch = -1.611280, Yaw = 157.504351
Roll = -19.842039, Pitch = -0.574326, Yaw = 157.248843
Roll = -19.842039, Pitch = -0.574326, Yaw = 157.248843
Roll = -20.074673, Pitch = 0.474987, Yaw = 156.988131
Roll = -20.074673, Pitch = 0.474987, Yaw = 156.988131
Roll = -20.338320, Pitch = 1.505848, Yaw = 156.746753
Roll = -20.338320, Pitch = 1.505848, Yaw = 156.746753
